original_index,review_text,review_text_processed,review_text_tokenized,polarity,rating,kfold_polarity,kfold_rating
0_461075,"Muito Boa, estou doido para ter uma dessa! Imagem, qualidade e um ótimo designer!","muito boa, estou doido para ter uma dessa! imagem, qualidade e um otimo designer!","['muito', 'boa', 'estou', 'doido', 'para', 'ter', 'uma', 'dessa', 'imagem', 'qualidade', 'um', 'otimo', 'designer']",1.0,4,5,5
minus_5_450971,"Excelente imagem e som, fácil instalação. Apenas não possibilita maior gama de configurações de vídeo.","excelente imagem e som, facil instalacao. apenas nao possibilita maior gama de configuracoes de video.","['excelente', 'imagem', 'som', 'facil', 'instalacao', 'apenas', 'nao', 'possibilita', 'maior', 'gama', 'de', 'configuracoes', 'de', 'video']",1.0,5,7,7
0_480008,"trava , é duro e existem cubos melhores vendidos em bancas de jornal. Compre os DAYAN","trava , e duro e existem cubos melhores vendidos em bancas de jornal. compre os dayan","['trava', 'duro', 'existem', 'cubos', 'melhores', 'vendidos', 'em', 'bancas', 'de', 'jornal', 'compre', 'os', 'dayan']",0.0,1,7,7
0_118628,"Máquina fotográfica ótica para o dia a dia, pode-se usar sem complicação.

O que gostei: fácil de transportar e tirar fotos mesmo em situações de movimento, como em carro e barco, Dá pra fazer filmagens e registrar eventos, inclusive a noite. tdo muito fácil e sem necessidade de ficar mexendo em controles.

O que não gostei: até o momento não conheço contras.","maquina fotografica otica para o dia a dia, pode-se usar sem complicacao.

o que gostei: facil de transportar e tirar fotos mesmo em situacoes de movimento, como em carro e barco, da pra fazer filmagens e registrar eventos, inclusive a noite. tdo muito facil e sem necessidade de ficar mexendo em controles.

o que nao gostei: ate o momento nao conheco contras.","['maquina', 'fotografica', 'otica', 'para', 'dia', 'dia', 'pode', 'se', 'usar', 'sem', 'complicacao', 'que', 'gostei', 'facil', 'de', 'transportar', 'tirar', 'fotos', 'mesmo', 'em', 'situacoes', 'de', 'movimento', 'como', 'em', 'carro', 'barco', 'da', 'pra', 'fazer', 'filmagens', 'registrar', 'eventos', 'inclusive', 'noite', 'tdo', 'muito', 'facil', 'sem', 'necessidade', 'de', 'ficar', 'mexendo', 'em', 'controles', 'que', 'nao', 'gostei', 'ate', 'momento', 'nao', 'conheco', 'contras']",1.0,5,2,2
13_214157,"wifi rápida e duração da bateria ótima mesmo usando a internet direto.

O que gostei: Conexão com redes sociais. Teclado QWERTY","wifi rapida e duracao da bateria otima mesmo usando a internet direto.

o que gostei: conexao com redes sociais. teclado qwerty","['wifi', 'rapida', 'duracao', 'da', 'bateria', 'otima', 'mesmo', 'usando', 'internet', 'direto', 'que', 'gostei', 'conexao', 'com', 'redes', 'sociais', 'teclado', 'qwerty']",1.0,4,8,8
0_296195,"camisa discreta e com ótimo acabamento

O que gostei: muito bonita","camisa discreta e com otimo acabamento

o que gostei: muito bonita","['camisa', 'discreta', 'com', 'otimo', 'acabamento', 'que', 'gostei', 'muito', 'bonita']",1.0,4,4,4
0_318531,"Estou respondendo a pesquisa pelo produto adquirido que foi SONY
CYBER-SHOT DSC-W560 E NÃO W570

O que gostei: melhor custo beneficio, display grande, bateria durável

O que não gostei: não vem com manual em portugues e o zoom é baixo 4x optico e o digital???????","estou respondendo a pesquisa pelo produto adquirido que foi sony
cyber-shot dsc-w560 e nao w570

o que gostei: melhor custo beneficio, display grande, bateria duravel

o que nao gostei: nao vem com manual em portugues e o zoom e baixo 4x optico e o digital???????","['estou', 'respondendo', 'pesquisa', 'pelo', 'produto', 'adquirido', 'que', 'foi', 'sony', 'cyber', 'shot', 'dsc', 'w560', 'nao', 'w570', 'que', 'gostei', 'melhor', 'custo', 'beneficio', 'display', 'grande', 'bateria', 'duravel', 'que', 'nao', 'gostei', 'nao', 'vem', 'com', 'manual', 'em', 'portugues', 'zoom', 'baixo', '4x', 'optico', 'digital']",1.0,4,10,10
1_45266,"Bom, na hora que passa é enjoativo e forte mais depois de 1 hora passa, o cheiro no fundo de talco faz ser enjoativo um pouco.

O que gostei: O preço em relação ao perfume é muito barato.

O que não gostei: Fragrância Forte","bom, na hora que passa e enjoativo e forte mais depois de 1 hora passa, o cheiro no fundo de talco faz ser enjoativo um pouco.

o que gostei: o preco em relacao ao perfume e muito barato.

o que nao gostei: fragrancia forte","['bom', 'na', 'hora', 'que', 'passa', 'enjoativo', 'forte', 'mais', 'depois', 'de', 'hora', 'passa', 'cheiro', 'no', 'fundo', 'de', 'talco', 'faz', 'ser', 'enjoativo', 'um', 'pouco', 'que', 'gostei', 'preco', 'em', 'relacao', 'ao', 'perfume', 'muito', 'barato', 'que', 'nao', 'gostei', 'fragrancia', 'forte']",1.0,4,10,10
0_369223,"Uma coisa que seria melhor: ter um botão para trocar de música automaticamente sem precisar usar a tela.

O que gostei: Muito bom, a bateria dura bastante, cabe muitas músicas.

O que não gostei: Uma coisinha pequena: apenas aceita o Itunes, o qual é meio complicado de lidar.","uma coisa que seria melhor: ter um botao para trocar de musica automaticamente sem precisar usar a tela.

o que gostei: muito bom, a bateria dura bastante, cabe muitas musicas.

o que nao gostei: uma coisinha pequena: apenas aceita o itunes, o qual e meio complicado de lidar.","['uma', 'coisa', 'que', 'seria', 'melhor', 'ter', 'um', 'botao', 'para', 'trocar', 'de', 'musica', 'automaticamente', 'sem', 'precisar', 'usar', 'tela', 'que', 'gostei', 'muito', 'bom', 'bateria', 'dura', 'bastante', 'cabe', 'muitas', 'musicas', 'que', 'nao', 'gostei', 'uma', 'coisinha', 'pequena', 'apenas', 'aceita', 'itunes', 'qual', 'meio', 'complicado', 'de', 'lidar']",1.0,4,2,2
minus_20_449491,"Não tenho experiência ainda com este produto. Estava pensando em adquiri-lo e estava pesquisando nas lojas justamente para saber a respeito de som, imagem, tecnologia e durabilidade. Não gostei muito.","nao tenho experiencia ainda com este produto. estava pensando em adquiri-lo e estava pesquisando nas lojas justamente para saber a respeito de som, imagem, tecnologia e durabilidade. nao gostei muito.","['nao', 'tenho', 'experiencia', 'ainda', 'com', 'este', 'produto', 'estava', 'pensando', 'em', 'adquiri', 'lo', 'estava', 'pesquisando', 'nas', 'lojas', 'justamente', 'para', 'saber', 'respeito', 'de', 'som', 'imagem', 'tecnologia', 'durabilidade', 'nao', 'gostei', 'muito']",,3,-1,10
